Category;Title;Ingredients
viande;Steak tartare;persil, huile d'olive, sel, poivre, tabasco, oignon, moutarde de Dijon, boeuf, jaune d'oeuf, câpres, sauce worcestershire, ketchup
viande;Ris de Veau aux champignons;sel, poivre, fond de veau, huile d'olive, oignon, ris de veau, bouillon de volaille, champignon, crème fraîche épaisse
viande;Bourguignon de sanglier facile;carotte, sel, poivre, farine, oignon, vin rouge, beurre, lardons, sanglier, ail, bouquet garni, champignons de Paris
viande;Coq au vin maison;sel, poivre, farine, huile, cognac, fond de veau, poivre, carotte, oignon, lardons, vin rouge, coq, champignons de Paris, ail, bouquet garni
viande;Boeuf carottes facile;beurre, ail semoule, sel, poivre, carotte, oignon, joue, paleron, concentré de tomates, vin blanc, cube de bouillon
viande;Cuissot Chevreuil à préparer la veille;muscade, romarin, thym, farine, beurre, clou de girofle, persil, oignon jaune, carotte, poivre, sel, bouillon de boeuf, huile d'olive, vinaigre de vin, vin rouge, chevreuil, eau, vin blanc, crème, échalote, ail, céleri, bouquet garni
viande;Paupiettes de porc à la crème et aux champignons;persil, poivre, sel, huile d'olive, beurre, crème fraîche, oignon, paupiette, champignons de Paris
viande;Boudin noir poêlé aux pommes;beurre, boudin noir, pomme, citron
viande;Escalopes milanaises comme en Italie;sel, poivre, farine, beurre, vinaigre balsamique, huile d'olive, tomate, escalope de veau, chapelure, parmesan râpé, oeuf, citron, roquette, basilic
viande;Tête de veau à la vinaigrette;sel, poivre, huile, vinaigre, moutarde, oignon, carotte, tête de veau, navet, bouquet garni, oeuf, cerfeuil, radis
viande;Sauté de veau tout simple;fond de veau, farine, veau, vin blanc, matière grasse, champignons de Paris
viande;Porc caramel;oignon jaune, sucre, gingembre, filet mignon, eau, cube de bouillon, mélange 4 épices, sauce soja, eau
viande;Langue de boeuf sauce cornichons;gros sel, oignon, poireau, carotte, langue, navet, os à moelle, sauce tomate, farine, beurre, bouillon, échalote, cornichons
viande;Navarin d'agneau;persil, huile d'olive, farine, gros sel, oignon, carotte, épaule d'agneau, navet, pomme de terre, ail, double concentré de tomates, bouillon, bouquet garni, épices à couscous
viande;Rôti de porc au miel et à la moutarde au Cookeo;poivre, bouillon, miel, moutarde, oignon, rôti de porc, ail
viande;Potée au choux et saucisse de Morteau;sel, poivre, huile d'olive, oignon, chou, pomme de terre, saucisse de morteau, saucisse de Montbéliard, rôti de porc, lardons fumés, bouquet garni, crème
viande;Roti de Porc fondant;poivre, sel, thym, feuille de laurier, beurre, rôti de porc, échalote, ail, vin blanc, eau
viande;Petit salé aux lentilles;sel, poivre, clou de girofle, oignon, carotte, petit salé, lentilles vertes, saucisse de Montbéliard, bouquet garni
viande;Poule au pot à l'ancienne;thym, sel, poivre, oignon, poireau, carotte, poule, navet
viande;Hot dog New Yorkais;moutarde, pain, relish, knacki, ketchup
viande;Nuggets de poulet faciles;huile, poivre, sel, blanc d'oeuf, escalope de poulet, chapelure
viande;Burger maison;emmental, oignon jaune, tomate, viande hachée, cornichons, salade, mayonnaise, ketchup, pain pour hamburger
viande;Boeuf Bourguignon rapide au Cookeo;beurre, farine, vin rouge, oignon, lardons, boeuf, ail, champignons de Paris, bouquet garni, sel et poivre
viande;Saucisse de Morteau au Four;huile d'olive, poivre, romarin, saucisse de morteau, pomme de terre, crème liquide
viande;Döner  kebab;sel, poivre, huile d'olive, crème fraîche, tomate, poivron rouge, oignon, gigot d'agneau, laitue, menthe, pain, ciboulette
viande;Côte de boeuf barbecue au gros sel;poivre, huile d'olive, gros sel, côte de boeuf, herbes de Provence
viande;Boulettes de viande;sel, poivre, oignon, viande hachée, oeuf, pain de mie, eau, chapelure
viande;Langue de boeuf sauce piquante aux cornichons;farine, oignon, beurre, poivre, sel, feuille de laurier, thym, oignon, vinaigre d'alcool, langue, bouillon, cornichons, patrelle
viande;Daube provençale;vin rouge, huile d'olive, orange, poivre, thym, feuille de laurier, carotte, oignon, boeuf, ail, olives noires, coulis de tomate
viande;Filet de poulet au curry;poivre, sel, curry, huile d'olive, oignon, filet de poulet, ail, sauce soja, ciboulette, crème fraîche épaisse
viande;Veau Marengo maison;sel, poivre, farine, carotte, beurre, veau, échalote, concentré de tomates, vin blanc sec, eau, ail, champignon, bouquet garni
viande;Rôti de dinde au four;sel, thym, dinde, échalote, bouillon de volaille
viande;hamburger maison;moutarde, tomate, oignon, pain pour hamburger, viande hachée, cheddar, salade, ketchup
viande;escalopes de veau à la crème;persil, sel, poivre, beurre, escalope de veau, crème fraîche épaisse, champignons de Paris
viande;Cuisses de poulet faciles et qui changent;sel, curcuma, curry, cuisse de poulet, concentré de tomates, cube de bouillon, eau, jus de citron, basilic
viande;Délicieuse marinade pour poulet;huile, vinaigre balsamique, miel, sel, poivre, blanc de poulet, jus de citron, sauce soja, ail
viande;Filet mignon de porc à la moutarde au Cookeo;beurre, crème fraîche, moutarde à l'ancienne, filet mignon, champignon, vin blanc sec, bouillon
viande;Chou frisé aux saucisses;gros sel, lardons, oignon, chou, saucisse de Montbéliard, matière grasse
viande;Paupiettes de veau au Cookeo;huile d'olive, vinaigre balsamique, moutarde, fond de veau, paupiette de veau, ail, vin blanc, eau, sel et poivre
viande;poulet à la crème et champignons;persil, farine, oignon, cuisse de poulet, ail, crème fraîche épaisse, champignon, fond
viande;Côtes de porc au four;huile, oignon, thym, moutarde, sel, poivre, côte de porc
viande;Blanquette de veau facile au Cookeo;beurre doux, farine, crème fraîche, oignon jaune, carotte, blanquette de veau, champignon, bouillon de légumes, bouillon de poule, vin blanc, jaune d'oeuf, jus de citron, sel et poivre
viande;Vol-au-vent aux blancs de poulet;sel, poivre, crème fraîche, farine, beurre, blanc de poulet, champignon, bouchée feuilletée, bouillon, jus de citron, riz
viande;Boeuf : quel morceau choisir ?;boeuf
viande;Osso bucco de dinde;sel, poivre, liqueur, tomate, oignon, huile d'olive, farine, dinde, vin blanc, bouillon de volaille, concentré de tomates, ail, herbes de Provence
viande;Travers de porc grillés à la sauce barbecue;piment de Cayenne, sel, poivre, sucre, huile, moutarde, vinaigre de cidre, travers de porc, coulis de tomate, ketchup
viande;Boudin blanc à la crème et aux champignons;sel, poivre, beurre, boudin blanc, crème fraîche liquide, champignon
viande;Rôti de veau en cocotte aux champignons;fond de veau, sel, poivre, oignon, beurre, rôti de veau, vin blanc, herbes de Provence, basilic, champignons de Paris
viande;Poulet aux olives vertes;sel, poivre, safran, persil, huile d'olive, oignon, poulet, olives vertes, ail, épices à couscous, paprika
viande;Aiguillettes de poulet et crème de citron;huile d'olive, poivre, sel, oignon, aiguillette de poulet, crème, citron
viande;Rôti de porc Orloff;crème fraîche, rôti de porc, gouda, bacon
viande;Effiloché de porc par Laurent Mariotte;miel, ketchup, paprika, moutarde, vinaigre de vin, sauce worcestershire, échine de porc, oignon rouge, huile de tournesol, sel, poivre
viande;Jambalaya poulet;huile d'olive, thym, feuille de laurier, poivron rouge, piment de Cayenne, sel, oignon, riz rond, poulet, chorizo, lardons fumés, ail, coulis, bouillon de poule, céleri, sauge
viande;Chapon farci de Noel;beurre, huile, sel, poivre, persil, chapon, échalote, ail, pain, lait, épinards frais, Foie gras, oeuf, foie
viande;Poulet Tandoori (Masala);yaourt, blanc de poulet, ail, épices tandoori, paprika, citron, beurre, crème fraîche, miel, tomates pelées, épices tandoori
viande;Keftas;sel, poivre, huile d'olive, persil, cumin en poudre, oignon, boeuf haché
viande;Cuisse de dinde marinée au four;sel, moutarde, cuisse de dinde, herbes de Provence, ail, poivre, huile d'olive, miel, sauce soja
viande;bavette à l'échalote sauce vin rouge;beurre, poivre, sel, vin, fond de veau, bavette, échalote
viande;La saucisse au four;sel, poivre, feuille de laurier, romarin, oignon, saucisse de Toulouse, pomme de terre, ail, vin blanc
viande;Steak de thon poêlé;sel, huile, beurre, oignon, steak
viande;Souris d'agneau façon papa;sel, poivre, thym, huile d'olive, souris d'agneau, herbes de Provence, ail
viande;Boeuf Bourguignon rapide;poivre, sel, farine, oignon, vin rouge, beurre, lardons, boeuf, ail, bouquet garni, champignons de Paris
viande;Boeuf Stroganoff;sel, poivre, moutarde, crème fraîche, sucre, oignon, beurre, boeuf, champignons de Paris, paprika, concentré de tomates, vin blanc sec
viande;Boudins blancs aux pommes;poivre, beurre, miel, boudin blanc, pomme
viande;poulet tikka massala;huile, coriandre, yaourt, sel, curcuma, chili, gingembre, blanc de poulet, ail, jus de citron, citron vert, salade
viande;Tripes à la mode de Caen;sel, poivre, quatre-épices, persil, thym, clou de girofle, oignon, carotte, tripes, pied de veau, vin blanc, jambon, couenne de panne, laurier
viande;Gigot de 7 heures : la recette incontournable;sel, poivre, cognac, huile d'olive, bouillon de boeuf, oignon, carotte, gigot d'agneau, couenne, tomates pelées, bouquet garni, vin blanc
viande;Rôti orloff;sel, poivre, beurre, tomate, rôti de veau, bacon, cheddar
viande;Filet mignon en croûte;oignon jaune, gruyère râpé, filet mignon, pâte feuilletée, jambon blanc, jaune d'oeuf
viande;Poulet de Bresse au vin jaune et aux morilles;sel, beurre, crème fraîche, vin, poulet, morilles
viande;Cuisses de grenouille au beurre aillé et persillé;sel, poivre, beurre, huile, persil, farine, cuisse de grenouille, ail
viande;Rognons de veau aux champignons et au porto;poivre, sel, farine, moutarde, crème fraîche, beurre, porto, rognon de veau, champignons de Paris, échalote
viande;Saucisses au chou vert;oignon, thym, huile d'olive, lardons, chou, chipolata, lard, échalote
viande;rognon de boeuf;beurre, sel, poivre, persil, bouillon de boeuf, moutarde, farine, rognons, champignon, madère
viande;Escalopes de poulet panées;farine, escalope de poulet, biscotte, oeuf, paprika
viande;Blanquette de Dinde;sel, poivre, crème fraîche, beurre, clou de girofle, oignon, carotte, dinde, bouillon de volaille, bouquet garni, champignons de Paris, petits pois, coeur d'artichaut, citron, jaune d'oeuf
viande;Tournedos Rossini;sel, poivre, truffe, cognac, beurre, pain de mie, tournedos, madère, crème fraîche épaisse, Foie gras
viande;Filet mignon de porc fondant en cocotte;huile, sel, poivre, thym, crème fraîche, bouillon de boeuf, carotte, lardons, oignon, filet mignon, pomme de terre, laurier
viande;L'oie rôtie, moelleuse;sel, poivre, persil, beurre, poireau, clou de girofle, oignon, carotte, oie, pain, ail, oignon grelot
viande;côtes de porc au curry et au miel;curry, miel, huile, côte de porc, citron
viande;Spicy crispy tenders;sel, piment fort, levure, piment fort, farine, huile, sel, origan, paprika, blanc de poulet, ail, paprika, ail, lait fermenté, lait fermenté
viande;Porc caramel au Cookeo;gingembre, sucre, oignon jaune, filet mignon, mélange 4 épices, sauce soja, bouillon de volaille
viande;Poulet basquaise au Cookeo;cuisse de poulet, huile d'olive, poivron, tomates concassées, vin blanc, eau, oignon, ail, farine, sel et poivre, piment d'Espelette
viande;Canard à l'orange;fécule de maïs, sel, poivre, orange, fond de veau, vinaigre, sucre, huile, canard, grand-marnier, jus d'orange, vin blanc
viande;Suprêmes de volaille à la crème citronnée;blanc de poulet, crème semi-épaisse, citron
viande;Poulet curry et oignons facile au Cookeo;huile d'olive, piment, cumin, curry, oignon jaune, blanc de poulet, crème fraîche allégée, sel et poivre
viande;Escalope de dinde au curry;curry, beurre, escalope de dinde, échalote, crème liquide
viande;Poulet à l'estragon;sel, poivre, moutarde, cognac, vinaigre de vin, vinaigre de xérès, huile d'olive, blanc de poulet, échalote, bouillon de volaille, crème fraîche épaisse, ciboulette, estragon
viande;Travers de porc caramélisés au four;coriandre, sel, huile de sésame, miel, gingembre, gingembre, travers de porc, ail, sauce soja, eau
viande;Agneau de 7 heures : la meilleure recette;sel, poivre, huile d'olive, piment, romarin, oignon, carotte, gigot d'agneau, ail, échalote, céleri, girofle, bouquet garni, vin blanc sec
viande;Marmite Espagnole au Cookeo;poivre, sel, piment, cumin, oignon, poivron rouge, lardons, blanc de poulet, riz blanc, eau, chorizo, paprika, bouillon de volaille
viande;Jarret de boeuf façon coq au vin;sel, poivre, vin rouge, carotte, oignon, jarret de boeuf, cube de bouillon, eau, matière grasse
viande;Blanquette de poulet;sel, poivre, farine, beurre, lardons, oignon, poulet, champignons de Paris, bouillon de volaille, ciboulette, jaune d'oeuf, citron, crème épaisse
viande;Wiener Schnitzel ou escalope viennoise;farine, sel, poivre, huile, escalope de veau, oeuf, lait, chapelure
viande;Boeuf braisé aux carottes;carotte, sel, poivre, bouillon de boeuf, thym, oignon, paleron, lard, matière grasse, concentré de tomates, laurier, sauge, ail
viande;Boulettes de boeuf scandinaves;farine, sel, poivre, boeuf haché, échalote, ciboulette, oeuf, chapelure, ketchup
viande;Sauté de porc au curry et au lait de coco;sel, huile, curry, oignon, sauté de porc, pulpe de tomate, lait de coco
viande;Blanquette de veau à l'ancienne;sel, poivre, crème fraîche, farine, beurre, feuille de laurier, thym, poireau, clou de girofle, oignon, oignon jaune, carotte, épaule de veau, champignon, cerfeuil, céleri, ail, jaune d'oeuf, citron
viande;Cuisses de pintade en papillotes;beurre, sel, poivre, thym, moutarde, pintade, ail
viande;Sauté de  veau aux olives (Corse);sel, poivre, farine, oignon, lardons, épaule de veau, olives vertes, ail, vin blanc, graine de fenouil, bouquet garni, concentré de tomates
viande;Steak végétal aux céréales et légumes;poivre, sel, muscade, cumin, curry, fécule de maïs, gingembre, carotte, poireau, lentilles corail, riz, boulgour, oignon rouge, champignons de Paris, concentré de tomates, herbes de Provence
viande;Escalope de dinde et sa salade pain de sucre;poivre, sel, gingembre, miel, escalope de dinde, salade
viande;Lapin rôti au four qui cuit tout seul !;poivre, sel, huile, feuille de laurier, thym, lardons, oignon, tomate, lapin, pomme de terre, ail, vin blanc sec
viande;Chicken wings;poivre, sel, piment de Cayenne, miel, aile de poulet, jus de citron, ail
viande;Boulettes de kefta à la marocaine;huile d'olive, cumin, sel, poivre, persil, oignon, viande hachée, tomates pelées, paprika, oeuf
viande;Joues de porc confites au cidre;beurre, huile, sel, poivre, oignon, joue de porc, lard, pomme de terre, cidre, herbes de Provence
viande;Lapin sauce chasseur;vin rouge, huile d'olive, sel, poivre, fond de veau, feuille de laurier, persil, carotte, lapin, lardons fumés, champignons de Paris, olives vertes, échalote, ail, herbes de Provence, concentré de tomates
viande;Poulet rôti en cocotte au four;beurre, huile, feuille de laurier, thym, oignon, poulet, ail, bouillon de volaille, eau
viande;Dinde farcie aux marrons;poivre, sel, cognac, feuille de laurier, thym, huile, beurre, dinde, marrons, chair à saucisse, pain de mie, lait, échalote, pomme de terre, bouillon
viande;Cari de poulet (comme à la Réunion);sel, poivre, curcuma, thym, tomate, huile de tournesol, poulet, oignon rouge, ail, eau
viande;Potée de chou blanc à la saucisse;sel, poivre, persil, carotte, oignon, chou blanc, lard, saucisse, pomme de terre, ail, matière grasse
viande;Daube de boeuf;sel, poivre, tomate, vin rouge, beurre, lard fumé, carotte, macreuse, échalote, madère, bouquet garni
viande;Rôti de porc à l'ail et au thym, rattes au four;sel, gros sel, crème fraîche, huile, thym, rôti de porc, pomme de terre, ratte, ail, bouillon de volaille
viande;Blanquette de poisson;farine, sel, poivre, oignon, lieu noir, champignons de Paris, vin blanc, crème fraîche liquide, bouquet garni
viande;Poulet Massala;sel, poivre, thym, curry, oignon, huile d'olive, blanc de poulet, pulpe de tomate, cube de bouillon, pomme, raisins secs, ail, garam masala, cannelle, laurier, crème fraîche allégée
viande;Filets de poulet à la moutarde et à la crème;huile, beurre, moutarde de Dijon, filet de poulet, échalote, crème fraîche épaisse
viande;Magret de canard pour hôte pressé (ou paresseux, ou pas doué...);poivre, gros sel, Magret de Canard
viande;Lapin à la moutarde en cocotte;sel, poivre, farine, moutarde, huile d'olive, beurre, bouillon, lardons, lapin, bouquet garni, échalote, vin blanc sec, crème épaisse
viande;Boulettes de viandes simplissimes;oignon, sel, poivre, farine, viande hachée, oeuf
viande;Cuisse de dinde à la dijonnaise;sel, poivre, huile, crème fraîche, moutarde de Dijon, tomate, cuisse de dinde, pomme de terre, ail
viande;Chou fleur et dinde curry coco au cookeo;huile, curry, oignon, chou-fleur, escalope de dinde, lait de coco, coulis de tomate
viande;Sauté de dinde facile;poivre, sel, huile d'olive, thym, tomate, oignon, sauté de veau, ciboulette
viande;Paupiettes de dinde, sauce parfumée;poivre, sel, thym, oignon, tomate, paupiette, champignons de Paris, bouillon de volaille, ail
viande;Emincé de poulet aux épices et au miel;sel, poivre, miel liquide, huile, beurre, oignon, escalope de poulet, ail, cannelle, sauce soja
viande;Lapin à la moutarde maison au Cookeo;persil, thym, moutarde de Dijon, beurre, crème fraîche, carotte, lapin, échalote, ail, vin blanc sec, laurier, sel et poivre
viande;Marinade pour brochettes de poulet;poivre, sel, thym, gingembre, curry, huile d'olive, citron, carvi, ail, sauce soja, blanc de poulet
viande;Kebab d'agneau;sel, poivre, huile d'olive, persil, cumin, oignon, gigot d'agneau, paprika
viande;Filet mignon de porc sauce champignons de Paris;huile d'olive, fond de veau, filet mignon, oignon blanc, champignons de Paris, crème
viande;Civet de sanglier facile;oignon, piment de Cayenne, feuille de laurier, thym, sanglier, bourgogne, poivre, sel, huile d'olive, carotte, farine, cube de bouillon, lardons fumés
viande;Poêlée aux pommes de terre et saucisse fumée;huile d'olive, oignon, échalote, ail, herbes de Provence, saucisse, pomme de terre, eau
viande;Poulet basquaise au Cookeo;huile d'olive, oignon, poivron vert, tomate, escalope de poulet, ail, vin blanc, bouquet garni, sel et poivre
viande;Rôti de sanglier à la bière;sel, poivre, thym, oignon, vinaigre balsamique, huile d'olive, moutarde, bière, sanglier, guignolet, lardons fumés, échalote, ail
viande;Saltimbocca de veau;escalope de veau, mozzarella, Jambon de Parme, coulis de tomate, basilic frais, échalote, Parmesan
viande;Osso buco;beurre, sel, oignon, jarret de veau, concentré de tomates, tomates pelées, paprika, vin blanc
viande;Sauté de veau avec le Cookeo Moulinex;crème fraîche, oignon, fond de veau, veau, eau, olives vertes, champignon
viande;Foie gras poêlé aux pommes : la recette parfaite;muscade, sel, poivre, vinaigre de framboise, Foie gras, pomme
viande;Boudin noir aux pommes et miel;beurre, miel, oignon, boudin noir, pomme, pomme de terre
viande;poulet rôti à la broche à ma façon;beurre, huile d'olive, poivre, sel, oignon, poulet, ail, estragon, herbes de Provence, pomme de terre
viande;Boulettes de viande à la sauce tomate;sel, poivre, huile d'olive, courgette, poivron, thym, persil, oignon, viande, jaune d'oeuf, paprika, tomates pelées
viande;Daube de congre;persil, sel, poivre, safran, curry, beurre, oignon, congre, vin blanc sec, concentré de tomates, crème fraîche épaisse, estragon
viande;rognons de porc;thym, persil, poivre, sel, beurre, moutarde, carotte, rognons, ail, échalote, crème liquide
viande;Petit salé aux lentilles au Cookeo;bouillon de boeuf, clou de girofle, oignon, carotte, petit salé, lentilles vertes, saucisse de Montbéliard, bouquet garni, sel et poivre
viande;Rôti de veau orloff;crème fraîche, sel, poivre, beurre, rôti de veau, gruyère, bacon, vin blanc, fumet
viande;Poulet en sauce à ma façon;beurre, huile de tournesol, huile d'olive, poivre blanc, sel, piment d'Espelette, farine, fond de veau, carotte, cuisse de poulet, oignon rouge, ail, vin blanc, champignons de Paris, olives vertes, eau
viande;Perdrix aux cèpes et au Muscat;sel, poivre, cognac, truffe, oignon, lard fumé, perdrix, raisin muscat, cèpes, pomme de terre, ail, échalote, muscat
viande;Poulet portugais;poivre, sel, huile d'olive, persil, harissa, sauce tomate, poulet, ail, vin blanc, laurier
viande;gâteau de foies de volaille;sel, poivre, persil, foie, biscotte, oeuf, béchamel, ail
viande;souris d'agneau confites et carottes fondantes;sel, poivre, miel, bouillon, oignon, carotte, souris d'agneau, ail, bouquet garni
viande;Foie de veau au vinaigre;huile, sel, poivre, fond de veau, vinaigre de vin, foie de veau, échalote
viande;Tagliatelle fraîches aux truffes et au foie gras;sel, poivre, huile, beurre, truffe, tagliatelles, Foie gras, crème fraîche liquide
viande;Cuisses de poulet façon grand-mère;lardons, poivron rouge, oignon, cuisse de poulet, champignons de Paris, pomme de terre, crème fraîche épaisse
viande;Blanquette de saumon;sel, poivre, beurre, crème fraîche, saumon, champignons de Paris, échalote, citron, jaune d'oeuf, fumet
viande;Tournedos à la crème fraiche et à la moutarde;sel, poivre, moutarde de Dijon, crème fraîche, échalote, vin blanc, tournedos
viande;Cervelle de canut (faisselle aux herbes);sel, poivre, vinaigre de vin, huile d'olive, persil, faisselle, ail, échalote, ciboulette, oignon nouveau, crème fraîche épaisse
viande;Boudin blanc maison;beurre, porto, muscade, sucre, quatre-épices, poivre blanc, sel, oignon, carotte, porc, porc, lait, bouquet garni, échalote, oeuf, fécule, pain, boyau
viande;Poulet au citron;sel, poivre, farine de blé, crème fraîche, poulet entier, échalote, vin blanc, eau, citron, beurre demi-sel
viande;sauté de porc au colombo;oignon, sel, poivre, farine, poivron jaune, poivron rouge, sauté de porc, poudre de colombo, cube de bouillon
viande;Poulet au lait de coco rapide;huile, sel, poivre, quatre-épices, curry, tomate, oignon, cuisse de poulet, ail, lait de coco
viande;Langue de porc sauce tomate et cornichons;beurre, sauce tomate, sel, poivre, langue, bouquet garni, cornichons, échalote
viande;Blanquette de veau express à la cocotte minute;sel, poivre, oignon, farine, beurre, poireau, carotte, épaule de veau, queue, jaune d'oeuf, crème épaisse, bouquet garni
viande;Mijoté de boeuf au Cookeo;beurre, persil, bouillon de boeuf, farine, miel, carotte, boeuf, poitrine fumée, bière brune, baie de genévrier, bouquet garni, sel et poivre
viande;Joues de porc mijotées, sauce à la crème et à la moutarde de Dijon;sel, poivre, huile d'olive, moutarde de Dijon, joue de porc, échalote, vin blanc, eau, cube de bouillon, crème fraîche allégée, ciboulette
viande;Filet mignon de porc au Maroilles;sel, poivre, crème fraîche, oignon, filet mignon, vin blanc, maroilles
viande;Eglefin à la creme au curry;poivre, sel, curry, beurre, tomates cerise, haddock, vin blanc, citron, crème, échalote, fumet
viande;Marinade pour biche, chevreuil, sanglier;poivre, huile d'olive, cognac, persil, romarin, thym, feuille de laurier, oignon, carotte, vin rouge, ail, échalote
viande;Foies de volaille à la crème;crème fraîche, persil, foie, échalote, vin blanc
viande;Cuisses de lapin aux champignons;thym, sel, poivre, beurre, huile, tomate, cuisse de lapin, champignon, eau, cube de bouillon
viande;Rôti de boeuf à la cocotte;romarin, thym, poivre, vinaigre balsamique, carotte, oignon, rôti de boeuf, margarine, eau, laurier, sauceline
viande;Cuissot de sanglier d'Obélix au four;sel, poivre, beurre, sanglier, lard, madère, pignons, raisin, fécule, vinaigre, clou de girofle, thym, huile, oignon, carotte, échalote, ail, laurier, vin blanc
viande;Paupiettes de poulet en cocotte;huile d'olive, fond de veau, lardons, carotte, paupiette, champignon, eau
viande;Paupiettes de veau aux champignons;sel, poivre, crème fraîche, farine, paupiette de veau, champignons de Paris, bouillon, échalote
viande;Foie de veau poêlé;sel, poivre, beurre, farine, foie de veau
viande;Fricassée de dinde aux tomates et poivrons au Cookeo;thym, beurre, oignon, tomate, poivron rouge, poivron vert, sauté de dinde, ail, céleri branche, crème fraîche allégée, sel et poivre
viande;Filet mignon de porc au miel facile;sel, poivre, beurre, huile d'olive, purée de tomate, vinaigre balsamique, miel liquide, oignon, filet mignon, sauce soja
viande;Sauté de poulet et petits légumes au wok;huile, carotte, oignon, poivron rouge, poivron vert, escalope de poulet, germes de soja, ail, sauce soja, poisson, petit piment
viande;Tourte au poulet, champignons et lardons;curry, lardons, pâte brisée, blanc de poulet, champignon, Volaille, crème liquide
viande;Lapin rôti au four à la moutarde;moutarde de Dijon, beurre, lapin, ail, pomme de terre, eau, vin blanc sec, crème
viande;Rôti de veau en cocotte aux champignons au Cookeo;fond de veau, beurre, oignon, rôti de veau, champignon, vin blanc, herbes de Provence, basilic
viande;Boeuf bourguignon au Cookéo;fond de veau, vin rouge, poivre, sel, carotte, oignon, lardons, farine, huile, boeuf, champignon, bouquet garni, pomme de terre
viande;Osso bucco de veau au Cookeo;huile, farine, oignon, carotte, tomates concassées, osso bucco de veau, ail, vin blanc sec, bouquet garni, sel et poivre
